Origin,Destination,Distance
Lahore ,Islamabad,295
Lahore ,Karachi,1221
Lahore ,Faisalabad,192
Lahore ,Peshawar,531
Lahore ,Quetta,1152
Lahore ,Muzaffarabad,519
Lahore ,Multan,348
Lahore ,Hyderabad,900
Lahore ,Gujrawala,97
Lahore ,Bahawalpur,426
Lahore ,Sargodha,198
Lahore ,Sialkot,132
Islamabad,Karachi,1409
Islamabad,Faisalabad,317
Islamabad,Peshawar,186
Islamabad,Quetta,890
Islamabad,Muzaffarabad,135
Islamabad,Hyderabad,1245
Islamabad,Gujrawala,219
Islamabad,Sargodha,246
Islamabad,Sialkot,231
Islamabad,Gawadar,2027
Karachi,Faisalabad,1115
Karachi,Peshawar,1554
Karachi,Quetta,685
Karachi,Multan,884
Karachi,Hyderabad,164
Karachi,Gujrawala,1270
Karachi,Bahawalpur,828
Karachi,Sargodha,1221
Karachi,Sialkot,1312
Karachi,Gawadar,622
Faisalabad,Peshawar,462
Faisalabad,Quetta,824
Faisalabad,Muzaffarabad,450
Faisalabad,Multan,244
Faisalabad,Gujrawala,186
Faisalabad,Bahawalpur,322
Faisalabad,Sargodha,129
Faisalabad,Sialkot,260
Peshawar,Quetta,839
Peshawar,Multan,682
Peshawar,Hyderabad,1390
Peshawar,Gujrawala,523
Peshawar,Bahawalpur,760
Peshawar,Sargodha,392
Peshawar,Gawadar,2173
Quetta,Muzaffarabad,1032
Quetta,Multan,815
Quetta,Hyderabad,709
Quetta,Gujrawala,974
Quetta,Sargodha,755
Quetta,Sialkot,1243
Quetta,Gawadar,928
Muzaffarabad,Multan,670
Muzaffarabad,Gujrawala,343
Muzaffarabad,Bahawalpur,748
Muzaffarabad,Sargodha,380
Muzaffarabad,Sialkot,355
Multan,Hyderabad,716
Multan,Gujrawala,395
Multan,Bahawalpur,100
Multan,Sargodha,348
Multan,Sialkot,439
Multan,Gawadar,1500
Hyderabad,Gujrawala,1127
Hyderabad,Bahawalpur,552
Hyderabad,Sargodha,1080
Hyderabad,Sialkot,1172
Hyderabad,Gawadar,780
Gujrawala,Sargodha,190
Gujrawala,Sialkot,52
Gujrawala,Gawadar,1886
Bahawalpur,Sargodha,427
Bahawalpur,Sialkot,518
Bahawalpur,Gawadar,1445
Sargodha,Sialkot,265
Sargodha,Gawadar,1840
